channel;bin;weight;err_stat;err_syst_up;err_syst_do;err_tot_up;err_tot_do
boost_wjetcr_ele_mext;Wjets_HT_boost_5;0.5500416559562543;0.09648049389567954;0.15230646865457467;0.12886338303587924;0.18029349987279408;0.1609790582336907
boost_wjetcr_ele_mext;Wjets_HT_boost_4;0.5544628819402095;0.08516036597231053;0.14864460217320177;0.12225834612810971;0.17131113708036405;0.14899460101130693
boost_wjetcr_ele_mext;Wjets_HT_boost_3;0.7105462449428683;0.07169607429121466;0.18227303279239268;0.1694163738424795;0.19586675458614214;0.18396259074797286
boost_wjetcr_ele_mext;Wjets_HT_boost_2;0.8954175236387993;0.07815110463838609;0.24051682275900246;0.20580658491717696;0.25289511103674067;0.2201452828281159
boost_wjetcr_ele_mext;Wjets_HT_boost_1;0.8031682082922929;0.11115295861506866;0.23316283823689626;0.17951088729331507;0.25830193445572225;0.2111377248757702
boost_wjetcr_ele_mint;Wjets_HT_boost_5;0.4188227519936306;0.10514890109819038;0.11910268358030114;0.10098043584373;0.15887649492038258;0.14578525242748902
boost_wjetcr_ele_mint;Wjets_HT_boost_4;0.5641255445304041;0.07539572393316908;0.14250590910798758;0.13595479615376718;0.16122173959519437;0.15546131925536666
boost_wjetcr_ele_mint;Wjets_HT_boost_3;0.7805634125479217;0.061733885615953776;0.20846736752683573;0.1677584164862503;0.21741599747215581;0.17875670318960876
boost_wjetcr_ele_mint;Wjets_HT_boost_2;0.7710849860237097;0.061008363825461334;0.20379373251994082;0.16330330779948418;0.21272965442332917;0.17432725201445967
boost_wjetcr_ele_mint;Wjets_HT_boost_1;0.8967059269245669;0.09738977828671347;0.25623309040027137;0.19724989309932506;0.2741170653768365;0.2199824748529536
boost_wjetcr_mu_mext;Wjets_HT_boost_5;0.5159062436926769;0.07918933640586057;0.14885778738227673;0.13604626712265455;0.16861077031064078;0.1574151765186865
boost_wjetcr_mu_mext;Wjets_HT_boost_4;0.6462999756071136;0.06962708912252252;0.16754907581483902;0.14330653103327923;0.1814404154153158;0.15932574611928832
boost_wjetcr_mu_mext;Wjets_HT_boost_3;0.7096027330731552;0.056917413288542905;0.185951292030457;0.1589228781332723;0.19446715646415746;0.16880779937438234
boost_wjetcr_mu_mext;Wjets_HT_boost_2;0.6491123455917819;0.05723124871028468;0.1874610232059984;0.1526588785268778;0.19600268123262582;0.16303419586707107
boost_wjetcr_mu_mext;Wjets_HT_boost_1;0.9189489744748691;0.08534463010195541;0.2680736238491395;0.21627221578492278;0.28133107487593606;0.23250242409007224
boost_wjetcr_mu_mint;Wjets_HT_boost_5;0.6580172507003993;0.09011309408248998;0.17825832158618168;0.16174100589504842;0.19974082942613974;0.18515000057537612
boost_wjetcr_mu_mint;Wjets_HT_boost_4;0.7090326562484849;0.05970081111501628;0.17634028676844443;0.1656562419565303;0.18617218800177449;0.176085710229284
boost_wjetcr_mu_mint;Wjets_HT_boost_3;0.7351023680711443;0.05024334235044983;0.18574289617394907;0.15362866318773752;0.1924183383402708;0.16163588587747402
boost_wjetcr_mu_mint;Wjets_HT_boost_2;0.6500397686672869;0.04548024053081941;0.17847953007990494;0.15199706624220088;0.18418304736398755;0.1586554771351345
boost_wjetcr_mu_mint;Wjets_HT_boost_1;0.5031210293206961;0.057996636248400554;0.14641626265293964;0.11390723840511824;0.15748438584629237;0.12782201992305448
res_wjetcr_ele_mext;Wjets_HT_res_6;0.35486304321113876;0.06656410118432998;0.10257499536997311;0.0891394191825018;0.12228004433114883;0.11125023873534605
res_wjetcr_ele_mext;Wjets_HT_res_4;0.5546379940214791;0.03379896258554685;0.1370849943844456;0.1251510284607641;0.14119017514417453;0.12963467821785257
res_wjetcr_ele_mext;Wjets_HT_res_5;0.5321923812733322;0.059244629724359496;0.13531236909592614;0.12137224694155986;0.1477137887318872;0.13505979593801942
res_wjetcr_ele_mext;Wjets_HT_res_2;1.1430396397516134;0.011964638470893088;0.28485160924036396;0.2561632387898808;0.2851027742070641;0.25644250326547013
