channel;bin;weight;err_stat;err_syst_up;err_syst_do;err_tot_up;err_tot_do
boost_wjetcr_ele;Wjets_HT_boost_5;0.4863767005746314;0.07120228944081348;0.07448844504645212;0.06288187985694141;0.10304510889436576;0.09499419369601593
boost_wjetcr_ele;Wjets_HT_boost_4;0.5601056343026359;0.05653845896839807;0.0756660965479263;0.0743817054035455;0.09445610361073199;0.09343037750785908
boost_wjetcr_ele;Wjets_HT_boost_3;0.753500530870251;0.046819206989162185;0.10897685692808523;0.08767548541970871;0.11860857257811667;0.09939330403339838
boost_wjetcr_ele;Wjets_HT_boost_2;0.8201923751234717;0.0481188381341746;0.08621212972344654;0.09292368122329255;0.09873172689077848;0.1046433615451596
boost_wjetcr_ele;Wjets_HT_boost_1;0.8587213548244386;0.07342432889374641;0.10618827753666334;0.09352788666819903;0.129101054835739;0.11890583525679689
boost_wjetcr_mu;Wjets_HT_boost_5;0.5865376322216123;0.05993695828391809;0.08803429449166332;0.08811123586519759;0.10650106091008221;0.10656466982082109
boost_wjetcr_mu;Wjets_HT_boost_4;0.6835755414189747;0.04535264205771193;0.09012784243606833;0.0948776557607907;0.10089544154120988;0.10516002902375998
boost_wjetcr_mu;Wjets_HT_boost_3;0.7261076151270699;0.03776984366780464;0.09971915642814563;0.08661429289425213;0.10663241181475444;0.0944912526335729
boost_wjetcr_mu;Wjets_HT_boost_2;0.6492789549994137;0.03560843516393366;0.08518398443306288;0.07055586483245685;0.09232698337277336;0.07903221316071055
boost_wjetcr_mu;Wjets_HT_boost_1;0.6587749746023803;0.048225728932730035;0.07075995910516437;0.06517544952997818;0.08563114353818761;0.08107749473514761
res_wjetcr_ele;Wjets_HT_res_6;0.351947453529229;0.04862030552312901;0.06545764956530092;0.055067619652808236;0.08153918074015797;0.07346003568872507
res_wjetcr_ele;Wjets_HT_res_4;0.5890123914008241;0.026023288519840676;0.1101934919702848;0.0962452430123924;0.11322463167523263;0.09970134576775451
res_wjetcr_ele;Wjets_HT_res_5;0.45844744006823585;0.044033674978346427;0.08476021714739723;0.07834935564128903;0.09551575232898804;0.08987539185730342
res_wjetcr_ele;Wjets_HT_res_2;1.0998327178829963;0.008930451201915632;0.2398381884552835;0.19884712360910267;0.24000439496013795;0.19904756096542242
res_wjetcr_ele;Wjets_HT_res_3;0.7638530856466212;0.014601835554665795;0.1498926008868039;0.14088608175659106;0.15060214275426556;0.14164074849523484
res_wjetcr_ele;Wjets_HT_res_1;1.3491048076617247;0.009141776964394251;0.3003486665545935;0.22580235874822172;0.3004877594631587;0.22598733880978233
res_wjetcr_mu;Wjets_HT_res_6;0.46390042369272183;0.0404587521490356;0.08922990786564698;0.08135626411160707;0.0979739102167967;0.09086117067072522
res_wjetcr_mu;Wjets_HT_res_4;0.7153112642989228;0.021880556605925066;0.13398568464847255;0.10943317902091336;0.13576053347016953;0.11159919098276816
res_wjetcr_mu;Wjets_HT_res_5;0.5562732186460654;0.034689327569320416;0.10173999600242493;0.09543140493856252;0.1074912844549969;0.10154064455064045
res_wjetcr_mu;Wjets_HT_res_2;0.9852021616946123;0.0067728583149974314;0.2164011811126563;0.18752893844111146;0.2165071425997482;0.18765120399988164
res_wjetcr_mu;Wjets_HT_res_3;0.9009861683009079;0.01221661517317949;0.1834056039451026;0.15234159239868925;0.1838120269317473;0.15283064634050963
res_wjetcr_mu;Wjets_HT_res_1;1.1486139578182515;0.0060058300950289415;0.2574327108011879;0.21581392385665146;0.25750275840382447;0.2158974750327917
