channel;bin;weight;err_stat;err_syst_up;err_syst_do;err_tot_up;err_tot_do;wnorm_prefit_err_rel
res_wjetcr_ele;Wjets_res_6;0.7905479457390024;0.03895733716395855;0.1041323967128821;0.10594377921789831;0.11118106927024675;0.11287939791599319;0.1317217978670976
res_wjetcr_ele;Wjets_res_7;1.1661755077890463;0.009674972074375517;0.324560044807549;0.26034768298953653;0.3247042158182092;0.2605273903501514;0.27831149140053785
res_wjetcr_ele;Wjets_res_4;1.1801098811237098;0.02758981784000838;0.17357306778790582;0.13791637662605796;0.17575212064083265;0.14064894237108755;0.14708212393122938
res_wjetcr_ele;Wjets_res_5;1.050484368865061;0.04280080962417551;0.1138588483701879;0.1820859136325789;0.12163776821641523;0.18704862802997485;0.10838699912612747
res_wjetcr_ele;Wjets_res_2;1.4579236315596362;0.017624828323225462;0.24515638051529065;0.1826065282657926;0.2457891077342142;0.18345511368917705;0.16815447339517423
res_wjetcr_ele;Wjets_res_3;1.410894562887452;0.02345226107437118;0.19580905272219487;0.1511597941996936;0.19720850305568408;0.15296827099759672;0.13878361847356177
res_wjetcr_ele;Wjets_res_1;1.4114088497260069;0.009078564292935382;0.38969999471693667;0.2826605834457475;0.38980572880859693;0.28280633968055124;0.276107093130802
res_wjetcr_ele;Wjets_res_8;1.204731548217913;0.01754839006417581;0.20370382935982423;0.16692725745466244;0.20445829914606267;0.16784711875745625;0.16908649039792398
res_wjetcr_ele;Wjets_res_9;1.1072514188922145;0.02128632229820445;0.16039202862910074;0.15721360292026929;0.16179836329438352;0.15864811521148034;0.1448560154382734
res_wjetcr_ele;Wjets_res_18;0.6145271631679514;0.039524585251842825;0.09003639708958602;0.0939638246956296;0.09832978002723186;0.1019381831835412;0.1465132910080639
res_wjetcr_ele;Wjets_res_19;0.6042310715482051;0.04445664163309321;0.11473096863807711;0.11141818532101434;0.12304303373179934;0.11996001419440218;0.1898792929402075
res_wjetcr_ele;Wjets_res_21;0.42404573008963464;0.039017865949106514;0.07992960052853318;0.06567277196138478;0.08894456084479442;0.07638918012594777;0.1884928790855592
res_wjetcr_ele;Wjets_res_20;0.5715035532824312;0.06495965911571223;0.11618338978140959;0.090238596575584;0.13311024518619327;0.11118795629185985;0.20329425620210084
res_wjetcr_ele;Wjets_res_10;1.0818453174902394;0.026567123617821337;0.1614707228764986;0.1224009962820802;0.1636417012976326;0.12525101176505687;0.14925490757874027
res_wjetcr_ele;Wjets_res_11;0.9912914480007092;0.04108090947141771;0.1081819329018689;0.14511075926805048;0.11571936626763595;0.150813704875747;0.10913231736242265
res_wjetcr_ele;Wjets_res_12;0.7695070566178327;0.0366709370439842;0.11502717664399978;0.11167500613151937;0.12073114341533331;0.11754175691284668;0.149481639778031
res_wjetcr_ele;Wjets_res_13;0.8512756536234293;0.014001890423162652;0.1753201437304999;0.16639686486271352;0.17587838335936964;0.16698493815779433;0.20594990939098867
res_wjetcr_ele;Wjets_res_14;0.7653017127666883;0.03339720976040452;0.13541597401851233;0.1425798671309548;0.139473508736114;0.14643903895772187;0.1769445589360592
res_wjetcr_ele;Wjets_res_15;0.7736002781247938;0.053112981006958514;0.14343555195180344;0.09435472962121866;0.15295341223772696;0.10827651524379057;0.18541300463269095
res_wjetcr_ele;Wjets_res_16;0.6626306501539859;0.04848346459597768;0.1137395532995438;0.10567518211534663;0.1236419521198577;0.11626646315400282;0.1716484941846749
res_wjetcr_ele;Wjets_res_17;0.6702963639591193;0.02510791446319226;0.13740928428635876;0.11315963861417619;0.13968435408727903;0.11591165247714283;0.20499780645496568
