category,variable,sample,ratio,ratio_up,ratio_down
incl_ResolvedGen_,nCleanJet_res,GGH_2000_RelW002,1.30654683536,1.37427823108,1.20889590845
incl_ResolvedGen_,nCleanJet_res,QQH_180_RelW002,1.052845999,1.05122232469,1.0546996203
incl_ResolvedGen_,nCleanJet_res,GGH_230_RelW002,1.06036819016,1.05906949851,1.06177035523
incl_ResolvedGen_,nCleanJet_res,GGH_1000_RelW002,1.07772207469,1.07614821882,1.07945571383
incl_ResolvedGen_,nCleanJet_res,ggH_htt,1.09304465497,1.09174026539,1.09440789071
incl_ResolvedGen_,nCleanJet_res,QQH_800_RelW002,1.04228837756,1.04072451351,1.04406132875
incl_ResolvedGen_,nCleanJet_res,QQH_1000_RelW002,1.01882228782,1.01736239228,1.02053606307
incl_ResolvedGen_,nCleanJet_res,GGH_155_RelW002,1.06026383703,1.0623394361,1.05595088964
incl_ResolvedGen_,nCleanJet_res,QQH_126_RelW002,1.10442165667,1.09894764387,1.11141129979
incl_ResolvedGen_,nCleanJet_res,QQH_550_RelW002,1.02971700092,1.0290361526,1.03044340487
incl_ResolvedGen_,nCleanJet_res,GGH_4000_RelW002,1.13136736563,1.12161030704,1.14518978477
incl_ResolvedGen_,nCleanJet_res,QQH_160_RelW002,1.11771282364,1.09596555394,1.16256729593
incl_ResolvedGen_,nCleanJet_res,GGH_550_RelW002,1.07061147333,1.06966643874,1.07160894472
incl_ResolvedGen_,nCleanJet_res,ggWW,1.05878025592,1.05829841105,1.05927759125
incl_ResolvedGen_,nCleanJet_res,GGH_650_RelW002,1.07630454124,1.07528586183,1.07737938303
incl_ResolvedGen_,nCleanJet_res,GGH_400_RelW002,1.05689498376,1.05653777153,1.05726101756
incl_ResolvedGen_,nCleanJet_res,ZH_hww,1.11527016991,1.11210303455,1.1188081145
incl_ResolvedGen_,nCleanJet_res,QQH_5000_RelW002,1.00293137383,1.00239025584,1.00360600721
incl_ResolvedGen_,nCleanJet_res,GGH_270_RelW002,1.06891136513,1.06800539394,1.06986051607
incl_ResolvedGen_,nCleanJet_res,QQH_2500_RelW002,1.97624573058,2.09442394158,1.73068142959
incl_ResolvedGen_,nCleanJet_res,QQH_1500_RelW002,1.05030348827,1.047304408,1.05411634812
incl_ResolvedGen_,nCleanJet_res,ggH_hww,1.09850402478,1.08948887302,1.11152474097
incl_ResolvedGen_,nCleanJet_res,GGH_450_RelW002,1.06094536298,1.06059588474,1.06130225243
incl_ResolvedGen_,nCleanJet_res,QQH_3000_RelW002,0.988123676185,0.980590946204,0.99964481055
incl_ResolvedGen_,nCleanJet_res,QQH_650_RelW002,1.02736120539,1.02639146338,1.02843249441
incl_ResolvedGen_,nCleanJet_res,QQH_2000_RelW002,0.998314966568,0.99913034084,0.996951865281
incl_ResolvedGen_,nCleanJet_res,QQH_400_RelW002,1.03759418037,1.03726329975,1.03793527315
incl_ResolvedGen_,nCleanJet_res,QQH_210_RelW002,1.03739691092,1.03665475309,1.0381932785
incl_ResolvedGen_,nCleanJet_res,QQH_150_RelW002,0.981442963265,0.975650258865,1.00619023026
incl_ResolvedGen_,nCleanJet_res,WH_htt,1.07316378278,1.07211449895,1.07425803306
incl_ResolvedGen_,nCleanJet_res,GGH_900_RelW002,1.07129287035,1.06884330668,1.07405986809
incl_ResolvedGen_,nCleanJet_res,GGH_350_RelW002,1.06046353133,1.06007962556,1.0608565079
incl_ResolvedGen_,nCleanJet_res,ZH_htt,1.07702178731,1.07567413063,1.07844147506
incl_ResolvedGen_,nCleanJet_res,GGH_1500_RelW002,1.10555864481,1.10569906471,1.10537225641
incl_ResolvedGen_,nCleanJet_res,GGH_165_RelW002,1.04021131654,1.03834844021,1.0424120826
incl_ResolvedGen_,nCleanJet_res,QQH_700_RelW002,1.02167973971,1.02056493247,1.02291607448
incl_ResolvedGen_,nCleanJet_res,QQH_130_RelW002,1.05824255191,1.05616401827,1.0607966148
incl_ResolvedGen_,nCleanJet_res,GGH_170_RelW002,1.07483811028,1.07187959438,1.07834335756
incl_ResolvedGen_,nCleanJet_res,WH_hww,1.11820249328,1.11644765985,1.12005923388
incl_ResolvedGen_,nCleanJet_res,GGH_200_RelW002,1.07446928084,1.0725929248,1.07654553417
incl_ResolvedGen_,nCleanJet_res,GGH_300_RelW002,1.06224282845,1.06172504999,1.06277693256
incl_ResolvedGen_,nCleanJet_res,GGH_750_RelW002,1.08828573483,1.08664085825,1.09008922834
incl_ResolvedGen_,nCleanJet_res,QQH_350_RelW002,1.04285368163,1.04250894857,1.04320885727
incl_ResolvedGen_,nCleanJet_res,top,1.11037347921,1.11032119224,1.11042585453
incl_ResolvedGen_,nCleanJet_res,QQH_300_RelW002,1.04507602228,1.04465124779,1.0455152211
incl_ResolvedGen_,nCleanJet_res,QQH_165_RelW002,1.12591663691,1.11896689908,1.13510854816
incl_ResolvedGen_,nCleanJet_res,GGH_800_RelW002,1.08618944212,1.0836385243,1.08902149595
incl_ResolvedGen_,nCleanJet_res,QQH_125_RelW002,1.07132587181,1.06835831437,1.07517004268
incl_ResolvedGen_,nCleanJet_res,QQH_135_RelW002,1.07228919172,1.06910239378,1.07615048325
incl_ResolvedGen_,nCleanJet_res,GGH_600_RelW002,1.06948275561,1.06831508072,1.07073003708
incl_ResolvedGen_,nCleanJet_res,GGH_700_RelW002,1.04567519942,1.04452635599,1.04692210244
incl_ResolvedGen_,nCleanJet_res,GGH_160_RelW002,1.06748551614,1.06510141364,1.0708195649
incl_ResolvedGen_,nCleanJet_res,QQH_145_RelW002,0.982690666213,0.981650930936,0.988693768389
incl_ResolvedGen_,nCleanJet_res,GGH_180_RelW002,1.05327389766,1.05106283484,1.05584662824
incl_ResolvedGen_,nCleanJet_res,GGH_175_RelW002,1.05514229287,1.05207255039,1.05882004922
incl_ResolvedGen_,nCleanJet_res,QQH_170_RelW002,1.02534443338,1.02393084634,1.02706883223
incl_ResolvedGen_,nCleanJet_res,GGH_124_RelW002,1.08428086351,1.07773634396,1.09353252422
incl_ResolvedGen_,nCleanJet_res,GGH_135_RelW002,1.09741609308,1.08860153947,1.10983782124
incl_ResolvedGen_,nCleanJet_res,QQH_190_RelW002,1.05106948488,1.04942328539,1.05288384799
incl_ResolvedGen_,nCleanJet_res,DY,1.07245060391,1.07167398947,1.07327283992
incl_ResolvedGen_,nCleanJet_res,QQH_175_RelW002,1.04233299992,1.04064713791,1.04431085764
incl_ResolvedGen_,nCleanJet_res,GGH_115_RelW002,1.0261189228,1.02131400732,1.03343819394
incl_ResolvedGen_,nCleanJet_res,qqH_hww,1.07007315564,1.06718502338,1.07380661139
incl_ResolvedGen_,nCleanJet_res,QQH_124_RelW002,0.968920059288,0.968692472514,1.05129474408
incl_ResolvedGen_,nCleanJet_res,QQH_120_RelW002,1.02821206479,1.02660606633,1.03030888183
incl_ResolvedGen_,nCleanJet_res,QQH_230_RelW002,1.062333709,1.06145080996,1.06326703643
incl_ResolvedGen_,nCleanJet_res,GGH_126_RelW002,1.16137670221,1.14902804311,1.17951609487
incl_ResolvedGen_,nCleanJet_res,QQH_115_RelW002,1.05023587329,1.0502609075,1.02621231426
incl_ResolvedGen_,nCleanJet_res,QQH_140_RelW002,1.05315743714,1.0513481126,1.05531593881
incl_ResolvedGen_,nCleanJet_res,QQH_750_RelW002,1.02894183439,1.02741293491,1.03066900788
incl_ResolvedGen_,nCleanJet_res,GGH_130_RelW002,1.06315477113,1.05769064266,1.0705199921
incl_ResolvedGen_,nCleanJet_res,qqH_htt,1.05117258629,1.04964812434,1.05283901221
incl_ResolvedGen_,nCleanJet_res,GGH_140_RelW002,0.947379685133,0.947255936007,1.01974376764
incl_ResolvedGen_,nCleanJet_res,QQH_900_RelW002,1.0177679709,1.01702524134,1.01862591291
incl_ResolvedGen_,nCleanJet_res,Vg,1.05714403276,1.0558202678,1.05856020341
incl_ResolvedGen_,nCleanJet_res,GGH_5000_RelW002,1.07219900646,1.07117782267,1.07327477533
incl_ResolvedGen_,nCleanJet_res,GGH_500_RelW002,1.06035829036,1.05972839891,1.06101504825
incl_ResolvedGen_,nCleanJet_res,QQH_270_RelW002,1.05159385802,1.05101324997,1.05219814761
incl_ResolvedGen_,nCleanJet_res,GGH_2500_RelW002,1.05063793358,1.04758953082,1.05603375204
incl_ResolvedGen_,nCleanJet_res,GGH_210_RelW002,1.05431788283,1.05293201251,1.05583442414
incl_ResolvedGen_,nCleanJet_res,GGH_150_RelW002,1.03910922518,1.03512842127,1.04439692413
